What is the difference between dependencies and devDependencies?,Dependencies are needed to run the app; devDependencies are for development only.
Where are installed dependencies stored?,Inside the node_modules folder.
What is the purpose of package-lock.json?,It stores exact versions and nested dependencies to ensure consistent installs.
Do we manually edit package-lock.json?,"No, it is updated automatically by npm."
What does README.md usually contain?,Documentation and project overview.
What is vite.config.js used for?,"To configure Vite (e.g., ports, output directory, etc.)."
What is .eslintrc.cjs used for?,For linting rules and ECMAScript settings.
Why is .gitignore important?,"It excludes certain files (e.g., node_modules) from being pushed to Git."
Why don’t we push node_modules to Git?,It’s very large and can be reinstalled using npm install.
What command re-installs node_modules?,npm install
What is the role of index.html?,It is the browser entry point and loads main.js.
What does main.js do?,"It renders the root React component (e.g., App) into the root div."
Where should you write your custom components?,Inside the src folder.
What is the difference between public and assets folders?,Public files are directly accessible via the browser; assets are private and optimized by the build.
Why is it important to use capital letters for component names?,React distinguishes components from HTML tags using capitalization.
Why is the src folder preferred for code?,It separates actual source code from config and build-related files.
What does the node_modules folder contain?,All installed packages and their dependencies.
,
,
What is a component in React?,A reusable unit of UI in a React application.
Why are components important in React?,"They help break the UI into independent, reusable pieces and make code more manageable."
Can components be nested inside other components?,"Yes, components can include and render other components inside them."
What is a root component?,"The main component rendered inside index.html, usually App.js."
Why should component names start with a capital letter?,React uses capitalization to distinguish between components and HTML tags.
How do you define a basic functional component in React?,By using a function that returns JSX.
What is the difference between a component and a regular function?,A component returns JSX and is used in UI; a function typically returns data and is invoked directly.
What is JSX?,JavaScript XML – syntax that allows writing HTML-like code in JavaScript.
How can you include a component inside another?,Import it and use it as a self-closing tag or regular tag in JSX.
What are the types of components in React?,Functional Components (mostly used now) and Class Components (older style).
What is a High-Order Component (HOC)?,A function that takes a component and returns a new component.
What are Controlled and Uncontrolled Components?,Controlled components are managed by React state; uncontrolled use refs to access values directly.
How to return multiple elements in a React component?,Wrap them inside a single parent tag like <div> or use React Fragments.
Can components contain JavaScript code?,"Yes, you can use JS logic inside components, especially before the return statement."
How do you export a component?,Using export default ComponentName or named exports.
,
,
,
 Why do we export and import components in React?           , To use a component defined in one file inside another file by importing it where needed. 
 What is the benefit of placing components in separate files?," It helps organize code and keeps the project manageable, especially in large applications. "
 What are the types of exports in React?                    ," Default export, named export, and multiple (named) exports.                           "
 How does default export work?                              , Used to export a single main component from a file. It is imported without curly braces. 
 How does named export work?                                , Used to export multiple components; must be imported using curly braces.              
,
,
,
What is JSX in React?,"JSX is a syntax extension for JavaScript that allows writing HTML-like code inside JavaScript files, which gets converted to React elements."
Why is JSX important in React?,JSX makes writing UI code easier and more readable. It plays a significant role in React’s popularity due to its expressive syntax.
What does JSX allow us to do?,"It allows us to write HTML and JavaScript together, making the UI development seamless and intuitive."
Can we use React without JSX?,"Yes, by using React.createElement manually, but it’s verbose and not recommended for production."
What is the difference between HTML and JSX?,"JSX looks similar to HTML, but it has slight differences like `className` instead of `class`, and all tags must be closed properly."
Can we insert JavaScript expressions in JSX?,"Yes, by using curly braces `{}` inside JSX to embed any valid JavaScript expression."
What are the three parameters in React.createElement?,"Element type, props or attributes, and children (inner content)."
What is the full form of JSX?,"There is no official full form, but some interpret it as JavaScript XML or JavaScript Syntax Extension. Official docs just call it a ""syntax extension."""
Why is it recommended to use JSX instead of React.createElement directly?,"JSX simplifies the syntax, reduces code verbosity, and improves code readability."
Is JSX mandatory in React projects?,"No, but it's highly recommended for better development experience."
,
,
,
,
What is JSX in React?,"JSX is a syntax extension for JavaScript that allows writing HTML-like code inside JavaScript files, which gets converted to React elements."
Why is JSX important in React?,JSX makes writing UI code easier and more readable. It plays a significant role in React’s popularity due to its expressive syntax.
What does JSX allow us to do?,"It allows us to write HTML and JavaScript together, making the UI development seamless and intuitive."
Can we use React without JSX?,"Yes, by using React.createElement manually, but it’s verbose and not recommended for production."
What is the difference between HTML and JSX?,"JSX looks similar to HTML, but it has slight differences like `className` instead of `class`, and all tags must be closed properly."
Can we insert JavaScript expressions in JSX?,"Yes, by using curly braces `{}` inside JSX to embed any valid JavaScript expression."
What are the three parameters in React.createElement()?,"Element type, props or attributes, and children (inner content)."
What is the full form of JSX?,"There is no official full form, but some interpret it as JavaScript XML or JavaScript Syntax Extension. Official docs just call it a ""syntax extension."""
Why is it recommended to use JSX instead of plain JavaScript?,"JSX simplifies the syntax, reduces code verbosity, and improves code readability."
Is JSX mandatory in React projects?,"No, but it's highly recommended for better development experience."
,
,
What was the JSX task given in the previous part?,"To convert a static HTML+JS snippet (heading, image, task list, and button with alert) into a JSX-based React component."
What is the first step to start the task?,"Create a new file, e.g., `Todo.jsx`, in your React project."
How do we define the component?,Use a function component: `function Todo() { return (...) }`.
What HTML structure do we include in the JSX?,"Add heading (`<h1>`), image (`<img>`), task list (`<ul>` with `<li>`), and a button inside a `<div>`."
How do we handle button click in JSX?,"Create a function (e.g., `handleClick`) and bind it to the button using `onClick={handleClick}`."
How to export the component?,Use `export default Todo` at the bottom of the file.
How to import and use the component in App.jsx?,Use `import Todo from './Todo'` and render it as `<Todo />` in the return block.
What to check if the alert isn't working?,"Ensure the onClick is written in JSX syntax: `onClick={handleClick}`, not HTML-style like `onclick=""handleClick()""`."
What is the final output expected?,"The UI should display heading, image, 3 tasks, and a working alert when the button is clicked."
Why is this JSX practice useful?,"It teaches you how to transform raw HTML+JS code into reusable, modular JSX-based components in React."
